неопрятный,neg,linis,3
передовой,neg,linis,2
революция,neg,linis,4
лауреат,pos,linis,2
педант,pos,rusentilex,1
всегда,pos,linis,9767
хлебнуть,neg,linis,6
сетевой,neg,linis,23
усердный,pos,linis,5
расхвалить,pos,rusentilex,11
злоключение,neg,rusentilex,3
заболеваемость,neg,linis,51
убедительность,pos,rusentilex,6
ломать,neg,linis,163
вымогательство,neg,rusentilex,1
волнение,neg,linis,89
дружок,neg,linis,1
дружок,pos,linis,1
дружок,neg,linis,1
спорт,pos,linis,315
удушье,neg,rusentilex,72
гордый,neg,linis,18
гордый,pos,linis,18
неразборчивый,neg,rusentilex,4
ненормальный,neg,linis,21
роковой,neg,rusentilex,1
энергия,neg,linis,393
энергия,pos,linis,393
завышение,neg,linis,2
невыразительный,neg,rusentilex,3
вежливость,pos,linis,1
сексуальный,pos,linis,26
одиночество,neg,linis,5
ранение,neg,rusentilex,30
штраф,neg,linis,3
недержание,neg,rusentilex,6
успокаиваться,pos,linis,696
невнятность,neg,rusentilex,1
размытость,neg,rusentilex,4
пустяковый,neg,linis,4
пустяковый,pos,linis,4
донимать,neg,rusentilex,56
потрясающий,pos,rusentilex,77
подеваться,neg,rusentilex,3
игрушечный,neg,rusentilex,3
котироваться,pos,rusentilex,2
похвала,pos,linis,11
наводнение,neg,linis,4
порыв,neg,rusentilex,18
порыв,pos,rusentilex,18
интоксикация,neg,rusentilex,134
рискованный,neg,linis,16
беспечность,neg,linis,8
страховка,pos,linis,19
конфликт,neg,linis,33
грязниться,neg,rusentilex,7
изящный,pos,rusentilex,2
быстротечный,neg,rusentilex,1
талантливый,pos,linis,1
решительный,pos,rusentilex,4
эрозия,neg,rusentilex,187
вызубрить,neg,rusentilex,1
писать,pos,linis,9805
хамский,neg,rusentilex,1
холера,neg,rusentilex,4
поразительный,pos,linis,28
поразительный,neg,linis,28
захотеть,pos,linis,217
негодность,neg,rusentilex,12
трудиться,pos,linis,18
продолжать,neg,linis,2011
бушевать,neg,rusentilex,14
ароматный,pos,rusentilex,65
постановочный,neg,linis,1
удорожать,neg,linis,1
удорожать,pos,linis,1
удорожать,neg,linis,1
попадание,neg,linis,383
невралгия,neg,rusentilex,289
колоритный,pos,rusentilex,1
восхваление,pos,linis,2
восхваление,neg,linis,2
невралгический,neg,rusentilex,13
скрупулезный,pos,rusentilex,2
материть,neg,linis,4
злить,neg,rusentilex,2
тонуть,neg,linis,3
деградация,neg,linis,2
недоразвитие,neg,rusentilex,7
сразить,neg,rusentilex,8
сразить,pos,rusentilex,8
сгнить,neg,rusentilex,3
канализация,neg,linis,3
спешка,neg,rusentilex,25
гадкий,neg,linis,91
переполнять,neg,rusentilex,13
неподъемный,neg,rusentilex,4
пышный,pos,rusentilex,22
комильфо,pos,linis,4
комильфо,neg,linis,4
коситься,neg,rusentilex,6
дурочка,neg,linis,6
проколоться,neg,rusentilex,7
поиздеваться,neg,rusentilex,1
маньяк,neg,linis,1
рекомендовать,pos,linis,16656
захват,neg,linis,14
воодушевление,pos,rusentilex,3
расплата,neg,rusentilex,13
бюрократический,neg,linis,1
подсоблять,pos,rusentilex,1
отзыв,pos,rusentilex,9550
объективный,pos,rusentilex,36
бездействие,neg,linis,11
преимущественный,pos,rusentilex,4
дрожь,neg,rusentilex,41
урожай,pos,linis,10
неловкость,neg,rusentilex,3
тревожить,neg,linis,73
находчивость,pos,rusentilex,2
давка,neg,linis,1
безразличный,neg,linis,11
обеспеченный,pos,rusentilex,2
замараться,neg,rusentilex,2
одумываться,pos,rusentilex,2
учение,pos,linis,4
въедливый,neg,rusentilex,14
язвенный,neg,rusentilex,214
возгорание,neg,rusentilex,1
довольство,pos,rusentilex,2
отключение,neg,rusentilex,4
бельгия,pos,linis,57
торговля,neg,linis,11
драматизировать,neg,rusentilex,1
несчастный,neg,linis,54
глазок,neg,linis,444
выселять,neg,linis,1
компетенция,pos,rusentilex,19
постараться,pos,linis,2
жила,neg,linis,4
конфликтовать,neg,rusentilex,14
состоятельный,pos,linis,4
скудный,neg,linis,53
задержка,neg,rusentilex,217
тухлый,neg,linis,11
сетовать,neg,linis,10
вымазываться,neg,rusentilex,4
дурить,neg,linis,6
умеренный,pos,rusentilex,236
уловка,neg,linis,16
скучность,neg,rusentilex,1
единственный,pos,linis,3053
божеский,neg,linis,4
