кататься,neg,linis,19
засориться,neg,rusentilex,1
вырубиться,neg,rusentilex,5
сваливать,neg,linis,2
втридорога,neg,linis,2
жалеть,neg,rusentilex,226
жалеть,pos,rusentilex,226
пузатый,neg,linis,3
внешний,neg,rusentilex,281
заманчивый,pos,linis,14
контейнер,pos,linis,22
напрягать,neg,linis,61
остыть,neg,rusentilex,6
остыть,pos,rusentilex,6
неважнецкий,neg,rusentilex,2
раздавить,neg,rusentilex,2
мечта,pos,rusentilex,13
оптимистичный,pos,linis,5
оптимистичный,neg,linis,5
оптимистичный,pos,linis,5
вдохновить,pos,rusentilex,6
понимание,pos,rusentilex,26
фотография,pos,linis,115
загрязняться,neg,rusentilex,1
набираться,neg,rusentilex,14
безрезультатность,neg,rusentilex,2
отупение,neg,rusentilex,6
поздравление,pos,linis,1
герпетический,neg,rusentilex,16
туманность,neg,rusentilex,4
злополучный,neg,linis,11
сила,pos,linis,867
досыта,pos,rusentilex,1
паника,neg,linis,80
мерзкий,neg,linis,69
доллар,neg,linis,51
урон,neg,linis,6
паразитировать,neg,rusentilex,1
вакцина,neg,linis,365
проигрывать,neg,linis,22
раб,neg,linis,1
омрачаться,neg,rusentilex,1
заявлять,neg,linis,233
школа,neg,linis,171
решетка,neg,linis,1
перебор,neg,linis,20
дешевый,neg,linis,2084
несчастие,neg,rusentilex,1
завидный,pos,linis,5
завидный,neg,linis,5
баиньки,pos,rusentilex,1
оптимальный,pos,linis,68
норовить,neg,linis,16
равновесие,pos,rusentilex,16
чудный,pos,linis,6
красить,pos,rusentilex,21
нормальный,pos,linis,807
загрязнять,neg,linis,4
недешевый,neg,linis,76
суетный,neg,rusentilex,1
катастрофический,neg,linis,4
занижать,neg,linis,7
оптимизация,pos,rusentilex,1
микоз,neg,rusentilex,14
копеечный,neg,rusentilex,86
зануда,neg,linis,1
шататься,neg,linis,5
неактуальный,neg,linis,1
провокатор,neg,linis,5
объединять,pos,linis,8
недопустимый,neg,linis,14
адский,neg,linis,56
отражаться,neg,linis,86
неуч,neg,rusentilex,1
самостоятельность,pos,rusentilex,1
волноваться,neg,linis,24
заплакать,neg,linis,7
нудный,neg,linis,16
пакость,neg,rusentilex,3
фуфло,neg,rusentilex,4
пасть,neg,rusentilex,82
слезать,neg,linis,38
переполненность,neg,rusentilex,6
доченька,pos,rusentilex,127
воодушевиться,pos,rusentilex,4
тугой,neg,linis,23
усугубить,neg,rusentilex,6
тактичный,pos,linis,1
смешивать,neg,linis,125
восторгаться,neg,linis,2
восторгаться,pos,linis,2
пришибленность,neg,rusentilex,1
академик,pos,linis,10
профанация,neg,rusentilex,1
повредиться,neg,rusentilex,1
некрасивый,neg,linis,22
ровность,pos,rusentilex,1
скептик,neg,rusentilex,4
болезнь,neg,linis,1787
грусть,neg,linis,5
поднадоесть,neg,rusentilex,2
тормозить,neg,linis,25
умирать,neg,linis,73
пассивный,neg,linis,2
скептицизм,neg,rusentilex,3
измываться,neg,rusentilex,3
упадок,neg,linis,30
оговорить,neg,rusentilex,3
сраный,neg,linis,1
боевик,neg,linis,1
тетка,neg,linis,6
выпивоха,neg,rusentilex,1
непорядок,neg,rusentilex,1
непригодный,neg,linis,5
промаяться,neg,rusentilex,8
удобность,pos,rusentilex,3
